concept_type,concept_type_label_id,frequency,priority,status,suggested_template_id,media_engine_family
probability_model,Peluang dan kejadian,13,covered_mvp,covered_mvp,manim.probability_tree.v1,manim
scientific_inquiry_process,Keterampilan proses sains,10,covered_mvp,covered_mvp,manim.scientific_inquiry_data.v1,manim
financial_growth_model,Model keuangan dan pertumbuhan nilai,9,covered_mvp,covered_mvp,manim.financial_growth.v1,manim
data_representation_model,Representasi dan penyajian data,7,covered_mvp,covered_mvp,manim.data_representation.v1,manim
center_spread_statistics,Ukuran pemusatan dan penyebaran,7,covered_mvp,covered_mvp,manim.statistics_center_spread.v1,manim
ecosystem_environment_system,"Ekosistem, interaksi, pencemaran, dan iklim",7,top10_uncovered,uncovered,remotion.bio_ecosystem_network.v1,remotion_svg
organ_system_flow_regulation,"Sistem organ, aliran, dan regulasi tubuh",7,top10_uncovered,uncovered,remotion.bio_organ_system_flow.v1,remotion_svg
fraction_ratio_proportion_scaling,"Pecahan, rasio, proporsi, dan skala",6,covered_mvp,covered_mvp,manim.ratio_proportion.v1,manim
sequence_pattern_generalization,"Pola, barisan, dan generalisasi",6,covered_mvp,covered_mvp,manim.sequence_pattern.v1,manim
congruence_similarity_transform,"Kongruensi, kesebangunan, dan transformasi geometri",6,covered_mvp,covered_mvp,manim.geometry_transform.v1,manim
exponential_growth_model,Model eksponensial,6,covered_mvp,covered_mvp,manim.exponential_growth.v1,manim
earth_space_system_model,"Bumi, tata surya, gerak langit, dan kebencanaan",6,top10_uncovered,uncovered,remotion.earth_space_system.v1,remotion_svg
chemical_bonding_molecular_structure,"Ikatan kimia, bentuk molekul, dan gaya antarmolekul",6,top10_uncovered,uncovered,remotion.chem_bonding_molecule.v1,remotion_svg
fraction_decimal_percent_model,"Pecahan, desimal, persen, dan representasi bagian-keseluruhan",6,covered_mvp,covered_mvp,manim.fraction_bar_partition.v1,manim
number_line_quantity_model,Model garis bilangan dan kuantitas,5,covered_mvp,covered_mvp,manim.number_line_quantity.v1,manim
function_mapping_representation,"Relasi, fungsi, domain, kodomain, dan representasi",5,covered_mvp,covered_mvp,manim.function_mapping.v1,manim
equation_balance_model,Persamaan sebagai timbangan,5,covered_mvp,covered_mvp,manim.equation_balance.v1,manim
geometry_measurement_area_volume,"Pengukuran luas, keliling, luas permukaan, dan volume",5,covered_mvp,covered_mvp,manim.geometry_measurement.v1,manim
angle_relationship_geometry,Hubungan sudut dan teorema geometri dasar,5,covered_mvp,covered_mvp,manim.geometry_theorem.v1,manim
human_body_system_flow,Sistem organ manusia,5,top10_uncovered,uncovered,remotion.bio_flow_system.v1,remotion_svg
