row,concept_type,label,template_id,component,archetype,domain,engine_family
5,ecosystem_environment_system,"Ekosistem, interaksi, pencemaran, dan iklim",remotion.bio_ecosystem_network.v1,EcosystemNetworkVideo,ecosystem_network,biology,remotion_svg
6,organ_system_flow_regulation,"Sistem organ, aliran, dan regulasi tubuh",remotion.bio_organ_system_flow.v1,OrganSystemFlowVideo,organ_flow,biology,remotion_svg
11,earth_space_system_model,"Bumi, tata surya, gerak langit, dan kebencanaan",remotion.earth_space_system.v1,EarthSpaceSystemVideo,orbit_system,earth,remotion_svg
12,chemical_bonding_molecular_structure,"Ikatan kimia, bentuk molekul, dan gaya antarmolekul",remotion.chem_bonding_molecule.v1,ChemBondingMoleculeVideo,bonding_molecule,chemistry,remotion_svg
19,human_body_system_flow,Sistem organ manusia,remotion.bio_flow_system.v1,HumanBodyFlowVideo,human_body_flow,biology,remotion_svg
23,biodiversity_classification_conservation,"Keanekaragaman, klasifikasi, dan konservasi",remotion.bio_taxonomy_biodiversity.v1,TaxonomyBiodiversityVideo,taxonomy_biodiversity,biology,remotion_svg
24,biotechnology_process_ethics,"Bioteknologi, inovasi, dan etika",remotion.bio_biotech_process.v1,BiotechProcessVideo,biotech_process,biology,remotion_svg
25,ecosystem_interaction_energy_matter,"Ekosistem, interaksi, aliran energi, dan daur materi",remotion.bio_ecosystem_network.v1,EcosystemNetworkVideo,ecosystem_network,biology,remotion_svg
26,atomic_structure_periodic_model,"Atom, elektron, isotop, dan sistem periodik",remotion.chem_atomic_periodic.v1,AtomicPeriodicVideo,atomic_periodic,chemistry,remotion_svg
28,acid_base_ph_titration,"Asam-basa, pH, buffer, hidrolisis, dan titrasi",remotion.chem_acid_base_titration.v1,AcidBaseTitrationVideo,acid_base_titration,chemistry,remotion_svg
30,ecosystem_interdependence,"Habitat, adaptasi, rantai makanan, ekosistem",remotion.sd_ecosystem_food_chain.v1,SDEcosystemFoodChainVideo,sd_food_chain,sd_science,remotion_or_rive
31,energy_light_sound_heat_electricity,"Energi panas, cahaya, bunyi, listrik, magnet, dan perubahannya",remotion.sd_energy_forms.v1,SDEnergyFormsVideo,sd_energy_forms,sd_science,remotion_or_manim
34,life_structure_classification,"Makhluk hidup, klasifikasi, dan struktur organisme",remotion.bio_structure_labeling.v1,BioStructureLabelingVideo,bio_structure_labeling,biology,remotion_svg
38,virus_structure_lifecycle_health,"Virus, siklus replikasi, dan kesehatan",remotion.bio_virus_lifecycle.v1,BioVirusLifecycleVideo,virus_lifecycle,biology,remotion_svg
